,Susceptible,Exposed,Infected,Resistant,Dead
645,478,0,0,89,1025
646,478,0,0,89,1025
647,478,0,0,89,1025
648,478,0,0,89,1025
649,478,0,0,89,1025
650,478,0,0,89,1025
651,478,0,0,89,1025
652,478,0,0,89,1025
653,478,0,0,89,1025
654,478,0,0,89,1025
655,478,0,0,89,1025
656,478,0,0,89,1025
657,478,0,0,89,1025
658,478,0,0,89,1025
659,478,0,0,89,1025
660,478,0,0,89,1025
661,478,0,0,89,1025
662,478,0,0,89,1025
663,478,0,0,89,1025
664,478,0,0,89,1025
665,478,0,0,89,1025
666,478,0,0,89,1025
667,478,0,0,89,1025
668,478,0,0,89,1025
669,478,0,0,89,1025
670,478,0,0,89,1025
671,478,0,0,89,1025
672,478,0,0,89,1025
673,478,0,0,89,1025
674,478,0,0,89,1025
675,478,0,0,89,1025
676,478,0,0,89,1025
677,478,0,0,89,1025
678,478,0,0,89,1025
679,478,0,0,89,1025
680,478,0,0,89,1025
681,478,0,0,89,1025
682,478,0,0,89,1025
683,478,0,0,89,1025
684,478,0,0,89,1025
685,478,0,0,89,1025
686,478,0,0,89,1025
687,478,0,0,89,1025
688,478,0,0,89,1025
689,478,0,0,89,1025
690,478,0,0,89,1025
691,478,0,0,89,1025
692,478,0,0,89,1025
693,478,0,0,89,1025
694,478,0,0,89,1025
695,478,0,0,89,1025
696,478,0,0,89,1025
697,478,0,0,89,1025
698,478,0,0,89,1025
699,478,0,0,89,1025
700,478,0,0,89,1025
701,478,0,0,89,1025
702,478,0,0,89,1025
703,478,0,0,89,1025
704,478,0,0,89,1025
705,478,0,0,89,1025
706,478,0,0,89,1025
707,478,0,0,89,1025
708,478,0,0,89,1025
709,478,0,0,89,1025
710,478,0,0,89,1025
711,478,0,0,89,1025
712,478,0,0,89,1025
713,478,0,0,89,1025
714,478,0,0,89,1025
715,478,0,0,89,1025
716,478,0,0,89,1025
717,478,0,0,89,1025
718,478,0,0,89,1025
719,478,0,0,89,1025
720,478,0,0,89,1025
721,478,0,0,89,1025
722,478,0,0,89,1025
723,478,0,0,89,1025
724,478,0,0,89,1025
725,478,0,0,89,1025
726,478,0,0,89,1025
727,478,0,0,89,1025
728,478,0,0,89,1025
729,478,0,0,89,1025
730,478,0,0,89,1025
731,478,0,0,89,1025
732,478,0,0,89,1025
733,478,0,0,89,1025
734,478,0,0,89,1025
735,478,0,0,89,1025
736,478,0,0,89,1025
